id,name,section,status,setup,behavior,source_data,prerequisites,dependencies,permissions,route,labels,empty_state,recovery,evidence,screenshots
F001,"Member account, profile, and personal GSN identity",A,LIVE,FOUNDATIONAL_REQUIRED,USER_CONFIGURES_OR_CREATES,"Signup/login record, profile fields, phone/identity evidence where supplied, selected community context.",User must create or sign in to an account.,"Auth routes, entry verification routes, profile page, selected community state.",Signed-in member; some recovery/admin tools are restricted.,/login; /app/my-gmfn-and-i,Existing Member Sign In; My GSN Identity; Settings,Incomplete profile evidence shows as evidence still building or prompts to complete settings.,"Return to Profile or Settings, correct fields, repeat verification if asked.",APP_ROUTES LOGIN/PROFILE; entry/auth routes; SCREEN_REGISTRY Profile/MyGMFNAndI.,screenshots/2026-09-13_trust-passport.png
F002,Create community or join existing community,A,LIVE,FOUNDATIONAL_REQUIRED,USER_CONFIGURES_OR_CREATES,"Community record, invite code/link/QR context, join request, approval votes, selected community.",Signed-in member and invite or owner intent to create.,"Community Home, Clans/invite routes, join requests, admin review policy.",Member for request; owner/admin/reviewer for approval.,/app/community; /app/clans; /join/:code; /pending-approval; /app/community/:id/join-requests,Community Home; Set up Community Domain; Join marketplace; Owner approvals; Review Join Requests,No marketplace communities yet; invite code or join link needed; request may remain pending.,"Use latest invite link/code, ask owner/admin to review, or return to Community Home/Dashboard.",Community Home and Clans audits; join request tests; appRoutes COMMUNITY/CLANS/JOIN_PENDING.,screenshots/2026-09-13_community-home.png
F003,Community Domain setup and administration,A,PARTIAL,FOUNDATIONAL_REQUIRED,USER_CONFIGURES_OR_CREATES,"Domain draft, profile, templates, package quote, setup evidence, governance settings, response channels.",Existing community or owner authority; domain name/template choice.,"Community Domain purchase/dashboard, community domain API, package/payment instructions, governance policy.",Community owner/admin/setup editor; some routes platform/admin governed.,/community-domain/purchase; /app/community-domain; /app/community-domain/:communityDomainId,Community Domain; Check domain; Create draft; Open my Community Domains; Set up Community Domain,Domain can be draft/unavailable; marketplace community may not be linked yet.,"Check another name, open/create base community first, delegate editor, or return to Community Home.",CommunityDomainPurchasePage/CommunityDomainDashboardPage route code; community domain product contract audit passed.,screenshots/2026-09-13_community-home.png
F004,Community Bulletin / official notice board,A,LIVE,OPTIONAL_CONFIGURATION,USER_CONFIGURES_OR_CREATES,"Community notice events, notice settings, public code, attachments, acknowledgement/availability responses.",Selected community; posting permission according to notice policy.,"Community Home, Community Notices API, review queue, public notice route, Web Push where configured.",Members/admins depending on policy; review actions owner/admin/platform admin.,/app/community; /community-notices/:public_code,Community Bulletin; Bulletin tools; Post; Submit; Contact; Open QR link; Read full notice,No active notice or no public bulletin ready; member submission may wait for review.,"Open Bulletin tools, check policy, submit again with required length, or ask admin to decide.",Community Home button inventory passed; community_notices backend tests passed.,screenshots/2026-09-13_community-home.png
F005,Shop setup,A,LIVE,FOUNDATIONAL_REQUIRED,USER_CONFIGURES_OR_CREATES,"Shop/business name, category, description, contact/WhatsApp, community visibility, owner GSN ID.",Signed-in member with community membership and shop feature enabled.,"Marketplace shop routes, Shop Control, public shop, feature policy.",Shop owner; domain policy may require admin approval for listings.,/app/shop-control; /shop/:gmfnId,Shop Control; Save; WhatsApp number; Manage Products; Analytics,Shop record not ready; open Shop Control first if the shop has not been created.,"Return to Shop Control, save details, check listing policy, wait for approval if required.",Shop Control audit passed; marketplace/public shop backend tests passed outside sandbox.,screenshots/2026-09-13_shop-control.png
F006,Product/service public blocks and images,A,LIVE,FOUNDATIONAL_REQUIRED,USER_CONFIGURES_OR_CREATES,"Product title, detail, price/currency, category, availability, public/private visibility, image/video media.",Shop exists; media meets file rules; public slots available.,"Shop Assets, Marketplace products API, media upload route, public shop rendering.",Shop owner; listing approval may apply.,/app/shop-assets; /app/shop-control#shop-control-gallery-tools; /shop/:gmfnId,Manage Products; Public Items; Public shop blocks; No vault items yet; Price on request,Empty slot or no media link; public shop hides missing media rather than broken links.,"Open Shop Assets or Manage Products, replace slot, add media, archive duplicate/old block.",Shop assets/gallery audits; marketplace media boundary tests; public shop tests passed.,screenshots/2026-09-13_shop-assets.png
F007,Contact information for shop and DemandBox,A,LIVE,FOUNDATIONAL_REQUIRED,USER_CONFIGURES_OR_CREATES,"WhatsApp number, phone/contact fields, request contact path, owner contact visibility.",User consents to show a contact path for shop/request.,"Shop Control, DemandBox, public shop, WhatsApp link helper.",Owner controls own contact fields; viewers see public/request-visible contact only.,/app/shop-control; /app/demand-box; /shop/:gmfnId,WhatsApp; WhatsApp number; Contact,No WhatsApp/contact path means chat/call action cannot open from that surface.,Add or update contact in Shop Control or request details; retry contact action.,ShopControlPage and DemandBoxPage labels; public shop button inventory passed.,screenshots/2026-09-13_shop-control.png
F008,Private Vault offers and access links,A,LIVE,OPTIONAL_CONFIGURATION,USER_CONFIGURES_OR_CREATES,"Private product/offer records, access-link recipient, expiry/extension/revocation state.",Shop and at least one private offer.,"Vault Control, vault access API, marketplace products private visibility.",Shop owner; recipient link holder sees only scoped offer.,/app/vault-control; /share/vault-request/:gmfn_id,Private Vault; Create a link; Share access; No private offer is ready yet; No access link is ready yet,No private offer ready or no access link ready.,"Add private offer first, create access link, extend/revoke as needed.",APP_ROUTES VAULT_CONTROL; ShopControl Vault section source; vault tests present.,
F009,Free Spotlight publisher,A,LIVE,OPTIONAL_CONFIGURATION,USER_CONFIGURES_OR_CREATES,"Shop/product details, Spotlight message/body, media, owner identity, eligible owner communities.","Shop exists, product/media/message eligible, daily free quota available.","Shop Control Spotlight workflow, Marketplace broadcast API, Dashboard/Public Shop feed.",Shop owner in eligible communities; domain policy can disable Spotlight.,/app/shop-control#shop-control-spotlight; /app/dashboard; /shop/:gmfnId,Free Spotlight; Publish; Your Spotlight; Show Spotlight screen; WhatsApp,No live Spotlight for you; last Spotlight ended; quota may be exhausted.,"Open Spotlight tasks, check media/message, wait for daily quota reset, or use paid route.",Spotlight system feed audit passed; Shop Gallery audit passed; backend public shop tests passed.,screenshots/2026-09-13_dashboard.png
F010,Subscription Spotlight and paid Network Repost,A,PARTIAL,OPTIONAL_CONFIGURATION,USER_CONFIGURES_OR_CREATES,"Paid Spotlight credit bundle, payment instruction, target community, selected public block, credit usage.",Shop/product exists; payment/credit instruction generated and usable credit confirmed.,"Subscription Spotlight page, payment instructions, marketplace repost action, spotlight credit/status API.",Shop owner; paid credit and domain feature policy required.,/app/shop-control/subscription-spotlight; /app/marketplace,Subscription Spotlight; Spotlight credits; Generate payment code; Copy payment details; Publish Subscription Spotlight; Network Spotlight,Publisher: Waiting; active paid Spotlight may already exist; no target community suggestion may be ready.,"Generate/refresh payment status, pick one public block, check target community ID, wait for credit confirmation.",Spotlight subscription pricing tests passed; Spotlight system feed audit passed.,screenshots/2026-09-13_marketplace.png
